Município-Piauí;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
PI-MONSENHOR HIPOLITO;3;3;3;3;5;5;4;5;5;5;6;6;3;3;3;3;3;3;3;3;3
PI-MONTE ALEGRE DO PIAUI;38;29;12;28;21;30;68;1259;3;3;4;4;4;4;3;3;3;3;3;3;3
PI-MORRO CABECA NO TEMPO;14;25;1;12;20;12;19;15;14;31;32;20;82;21;0;0;0;0;0;0;0
PI-MORRO DO CHAPEU DO PIAUI;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;2;2;0;0;0;0
PI-NAZARE DO PIAUI;32;30;23;28;19;14;11;11;1;1;1;1;1;2;2;2;2;2;2;2;1
PI-NAZARIA;356;372;349;294;53;50;24;63;15;53;55;56;64;0;0;0;0;0;0;0;0
PI-NOSSA SENHORA DE NAZARE;0;3;0;0;0;0;0;2;6;9;0;0;11;5;0;0;18;15;0;0;0
PI-NOSSA SENHORA DOS REMEDIOS;4;3;1;1;1;1;2;2;2;2;1;1;2;2;8;9;2;2;2;2;2
PI-NOVO ORIENTE DO PIAUI;2;1;1;1;1;1;2;1;1;1;1;2;2;2;2;2;2;2;3;2;3
PI-OEIRAS;214;150;161;127;175;189;194;198;158;152;122;107;112;132;112;86;69;92;115;35;48
PI-PADRE MARCOS;2;3;2;1;3;3;3;3;3;3;2;2;4;4;4;4;64;65;66;70;70
PI-PAES LANDIM;5;8;20;18;21;25;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3
PI-PALMEIRA DO PIAUI;3;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PI-PALMEIRAIS;4;22;13;12;6;6;4;4;5;5;4;4;4;8;4;3;4;4;4;4;4
PI-PAQUETA;1;2;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PI-PARNAGUA;5;7;5;4;6;7;10;9;8;11;9;11;15;9;6;10;6;6;6;6;6
PI-PARNAIBA;2429;2097;1933;2028;2023;1880;1821;1955;1950;1803;1797;1790;1658;1897;1835;1916;1687;1600;1477;1455;1584
PI-PASSAGEM FRANCA DO PIAUI;1;1;1;2;3;2;7;1;9;1;1;1;1;1;1;1;1;1;1;0;0
PI-PATOS DO PIAUI;0;0;0;0;0;0;1;1;11;18;16;0;0;0;0;0;0;0;0;0;0
PI-PAU D ARCO DO PIAUI;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PI-PAULISTANA;39;22;30;17;29;31;58;96;58;60;34;62;91;42;38;40;38;37;39;38;32
PI-PEDRO II;98;87;86;70;81;100;100;96;91;95;103;113;107;114;102;95;77;82;117;130;106
PI-NOVA SANTA RITA;0;0;1;3;2;2;1;3;160;499;0;0;0;0;0;0;0;0;0;0;0
